fold,sample_size,initial_fleet_hash,mechanism_id,dispatch_strategy,pricing_scenario,served_order_profit,lost_demand_cost,net_platform_profit,platform_revenue,platform_cost,capability_cost,remote_assistance_cost,fallback_expected_cost,supply_scenario,av_penetration,odd_profile
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_mature_av,ODD-Gated Price-Aware Matching,P3_shared_comp,41601.817834157526,985.0,40616.817834157526,58555.43260979527,16953.614775637747,1579.0662889629602,218.31258153915405,0.0,moderate,0.75,mature_av
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_intersection_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,32620.832972557924,1370.0,31250.832972557924,55714.00707374716,23093.17410118924,1406.7664861381054,900.7123146057129,0.0,moderate,0.75,intersection_sensitive_av
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_uncertainty_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,36637.686106982015,1250.0,35387.686106982015,56820.21433698224,20182.52823000024,1376.7782467603683,641.0317249298096,0.0,moderate,0.75,uncertainty_sensitive_av
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,B0_minpickup_uniform,GlobalMatch-MinPickup,P0_uniform,28252.56218255008,1155.0,27097.56218255008,56040.09313030739,27787.530947757317,3387.695552006364,978.7973437309264,2063.0419998168945,moderate,0.5,moderate_av
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,B1_mincost_uniform,GlobalMatch-MinOperatingCost,P0_uniform,33536.30810682276,1160.0,32376.30810682276,55944.22510907297,22407.91700225021,846.6481786519289,134.03086948394775,90.51040172576904,moderate,0.5,moderate_av
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,B2_oddgate_uniform,ODD Gate Only,P0_uniform,30685.429388890883,1160.0,29525.429388890883,55945.30800209456,25259.87861320368,1440.3396740406752,1112.3685088157654,0.0,moderate,0.5,moderate_av
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,B3_odd_price_shared,ODD-Gated Price-Aware Matching,P3_shared_comp,33491.96636681799,1170.0,32321.966366817996,57095.28582502676,23603.31945820877,747.9579467773438,139.65265083312988,0.0,moderate,0.5,moderate_av
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,B4_odd_price_avdiscount,ODD-Gated Price-Aware Matching,P4_av_discount_hv_comp,31629.7645903754,1130.0,30499.7645903754,56307.35692386293,24677.59233348753,821.0202129334211,190.86858987808228,0.0,moderate,0.5,moderate_av
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,B5_weighted_heuristic,Weighted Stakeholder Heuristic,P5_three_stakeholder_balanced,30361.85507221464,1285.0,29076.85507221464,55168.111994282604,24806.25692206797,515.7714988142252,53.22349786758423,0.0,moderate,0.5,moderate_av
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,B6_three_stakeholder_balanced,Three-Stakeholder Balanced,P5_three_stakeholder_balanced,31396.213743874425,1280.0,30116.213743874425,54892.45213386662,23496.23838999221,729.617092564702,116.67027854919434,0.0,moderate,0.5,moderate_av
2,1500,b2e8cd9bad5fb83502b8d4fe06e17224f54a3e07e181f9f390c7dcf88c11db97,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,33400.258245658624,1175.0,32225.258245658624,56921.73242476606,23521.47417910744,769.0873324275017,154.52232456207275,0.0,abundant,0.5,moderate_av
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,33491.96636681799,1170.0,32321.966366817996,57095.28582502676,23603.31945820877,747.9579467773438,139.65265083312988,0.0,moderate,0.5,moderate_av
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,33491.96636681799,1170.0,32321.966366817996,57095.28582502676,23603.31945820877,747.9579467773438,139.65265083312988,0.0,moderate,0.5,conservative_av
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,33491.96636681799,1170.0,32321.966366817996,57095.28582502676,23603.31945820877,747.9579467773438,139.65265083312988,0.0,moderate,0.5,mature_av
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,33491.96636681799,1170.0,32321.966366817996,57095.28582502676,23603.31945820877,747.9579467773438,139.65265083312988,0.0,moderate,0.5,intersection_sensitive_av
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,33491.96636681799,1170.0,32321.966366817996,57095.28582502676,23603.31945820877,747.9579467773438,139.65265083312988,0.0,moderate,0.5,uncertainty_sensitive_av
2,1500,ed4cc195d96b8323a4fe6dc34d9295f4b44a9bd581ab12ab927a4799d1d7fca3,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,33615.18761315734,1165.0,32450.187613157337,57165.30126359894,23550.1136504416,784.5659470111132,161.6945414543152,0.0,tight,0.5,moderate_av
