fold,sample_size,initial_fleet_hash,mechanism_id,dispatch_strategy,pricing_scenario,supply_scenario,av_penetration,odd_profile,cancellation_reason,orders
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,INT_AV0.25_moderate_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.25,moderate_av,cancelled_no_available_vehicle,3
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,INT_AV0.25_moderate_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.25,moderate_av,cancelled_no_spatial_candidate,15
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,INT_AV0.25_moderate_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.25,moderate_av,cancelled_passenger_rejection,172
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,INT_AV0.25_uncertainty_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.25,uncertainty_sensitive_av,,1308
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,INT_AV0.25_uncertainty_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.25,uncertainty_sensitive_av,cancelled_no_available_vehicle,3
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,INT_AV0.25_uncertainty_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.25,uncertainty_sensitive_av,cancelled_no_spatial_candidate,15
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,INT_AV0.25_uncertainty_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.25,uncertainty_sensitive_av,cancelled_passenger_rejection,171
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,INT_AV0.25_uncertainty_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.25,uncertainty_sensitive_av,cancelled_patience_timeout,3
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.25,moderate_av,,1310
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.25,moderate_av,cancelled_no_available_vehicle,3
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.25,moderate_av,cancelled_no_spatial_candidate,15
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.25,moderate_av,cancelled_passenger_rejection,172
1,1500,d93567e4f3b1d01a38394a614bcf1678a4c42b4e787430979ab6601605c101d8,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,tight,0.5,moderate_av,,1313
1,1500,d93567e4f3b1d01a38394a614bcf1678a4c42b4e787430979ab6601605c101d8,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,tight,0.5,moderate_av,cancelled_no_available_vehicle,3
1,1500,d93567e4f3b1d01a38394a614bcf1678a4c42b4e787430979ab6601605c101d8,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,tight,0.5,moderate_av,cancelled_no_spatial_candidate,15
1,1500,d93567e4f3b1d01a38394a614bcf1678a4c42b4e787430979ab6601605c101d8,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,tight,0.5,moderate_av,cancelled_passenger_rejection,168
1,1500,d93567e4f3b1d01a38394a614bcf1678a4c42b4e787430979ab6601605c101d8,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,tight,0.5,moderate_av,cancelled_patience_timeout,1
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_conservative_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.0,conservative_av,,1301
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_conservative_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.0,conservative_av,cancelled_no_available_vehicle,3
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_conservative_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.0,conservative_av,cancelled_no_spatial_candidate,15
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_conservative_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.0,conservative_av,cancelled_passenger_rejection,180
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_conservative_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.0,conservative_av,cancelled_patience_timeout,1
