fold,experiment_family,dispatch_strategy,pricing_scenario,supply_scenario,av_penetration,odd_profile,mean_passenger_fare,mean_passenger_generalized_cost,platform_profit,HV_net_income,HV_stress_burden,AV_stress_exposure
3,strategy,Random,P3_shared_comp,moderate,0.5,moderate_av,46.2626869498911,48.038377908985495,38052.82501448329,9947.500368232548,0.37074545044545554,0.3623831147255363
3,strategy,Nearest,P3_shared_comp,moderate,0.5,moderate_av,46.072753862277565,47.086300782324024,37673.3981813094,10095.706532860764,0.3702178033757645,0.36278416521325846
3,strategy,GlobalMatch-MinPickup,P3_shared_comp,moderate,0.5,moderate_av,46.144510963401956,47.17405661299968,37168.81224917459,10940.92807683907,0.3682576526905535,0.36412028960720466
3,strategy,GlobalMatch-MinOperatingCost,P3_shared_comp,moderate,0.5,moderate_av,46.07409032726779,46.73942886644936,46144.15974836992,870.1437061491114,0.3702510817406269,0.3659929802262405
3,strategy,Cost-only,P3_shared_comp,moderate,0.5,moderate_av,46.14511047322005,46.73866674542355,46561.72265634171,573.8958437204955,0.37654026349385583,0.3659689920441576
3,strategy,Simple Risk Penalty,P3_shared_comp,moderate,0.5,moderate_av,46.14593204643449,47.65900298538778,27943.382014290066,21083.67808541884,0.36702927023925785,0.34831098744682243
3,strategy,ODD Gate Only,P3_shared_comp,moderate,0.5,moderate_av,46.09210197926548,47.17769679383379,36402.50236056818,11484.445060157652,0.37806413398691635,0.35325732436644325
3,strategy,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.5,moderate_av,46.07857756191859,46.89662761844262,43802.69973659923,2459.881274471909,0.4288103496067404,0.35661073201531973
3,strategy,Three-Stakeholder Balanced,P3_shared_comp,moderate,0.5,moderate_av,46.07395723365464,46.94716474772207,43780.24366601973,2673.911882277004,0.42784350052259973,0.3563098556119694
3,supply,ODD-Gated Price-Aware Matching,P3_shared_comp,abundant,0.5,moderate_av,46.07905921654728,46.81082468970389,44232.043807938244,1843.1683345739425,0.4542766358437283,0.35645514345063806
3,supply,ODD-Gated Price-Aware Matching,P3_shared_comp,tight,0.5,moderate_av,46.11320308330624,47.19635860309447,43406.89468237803,3527.3732244047824,0.4206729793950678,0.35541940496075114
3,av_penetration,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.0,moderate_av,45.96849468643114,47.51004247532835,26675.212364394458,22150.226205980267,0.36613145351809645,
3,av_penetration,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.25,moderate_av,46.100376793741404,47.18653311981446,41200.790430877576,6159.303287188703,0.39542252973378084,0.35501443627586843
3,av_penetration,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,moderate_av,46.00196897905471,46.74481362924746,44188.70498865501,1785.6092428467482,0.4528734455327014,0.3565269027789631
3,odd_profile,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.5,conservative_av,46.0949740612274,47.26060462409348,38642.81727850117,7537.015468915004,0.41981206806897275,0.3342530803622247
3,odd_profile,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.5,mature_av,46.094833799569564,46.758243428130754,45332.19660088872,1403.265894034654,0.4083000695609663,0.36269432391518447
3,odd_profile,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.5,intersection_sensitive_av,45.977381660469405,47.201870450221016,37324.40108982254,9682.244948283627,0.4010037594325059,0.3387266716796155
3,odd_profile,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.5,uncertainty_sensitive_av,45.99084517360673,47.02683411775055,40123.76685188229,6164.906519110813,0.4195825800505532,0.3427555027966978
3,pricing,ODD-Gated Price-Aware Matching,P0_uniform,moderate,0.5,moderate_av,45.5477903643264,46.45044639444776,44134.477992596665,2164.6664494778793,0.4310666741708062,0.35636704992038326
3,pricing,ODD-Gated Price-Aware Matching,P1_platform_funded_comp,moderate,0.5,moderate_av,45.556216654324295,46.355952999168615,42873.86945356423,2577.12125280095,0.42825579946271025,0.35614272401974334
3,pricing,ODD-Gated Price-Aware Matching,P2_passenger_funded_comp,moderate,0.5,moderate_av,47.51388248750614,48.38672521253954,45999.45519826175,2575.693885546535,0.4333351716462873,0.3561738132239749
3,pricing,ODD-Gated Price-Aware Matching,P4_av_discount_hv_comp,moderate,0.5,moderate_av,44.39210352811327,45.20972931422002,41554.69825203283,2845.70542594251,0.43461301456944046,0.3563163500588319
