supply_scenario,av_penetration,odd_profile,pricing_scenario,dispatch_strategy,relocation_mode,experiment_family,orders,served_orders,match_rate,cancel_rate,passenger_acceptance_rate,mean_waiting_time_sec,mean_pickup_time_sec,mean_passenger_fare,mean_passenger_generalized_cost,platform_revenue,platform_cost,platform_profit,profit_margin,HV_payout,HV_net_income,HV_stress_burden,HV_high_stress_assignment_share,AV_utilization,AV_assignment_share,AV_stress_exposure,AV_ODD_violation_rate,mean_candidate_count,zero_candidate_order_share,cross_zone_candidate_share,fold,experiment_id
moderate,0.5,moderate_av,P2_passenger_funded_comp,ODD-Gated Price-Aware Matching,pending_demand,pricing,1500,1304,0.8693333333333333,0.13066666666666665,0.8693333333333333,70.86349693251533,91.16521214562414,46.89526455232142,47.87040928603145,61151.424976227136,17034.681416798347,44116.74355942878,0.7214344322569645,4751.1720756210625,3316.854456019642,0.37127189902645175,0.18686868686868688,0.8047619047619048,0.848159509202454,0.32496475824449633,0.0,6.357862630514564,0.3045173518930425,0.4667562327091169,1,20
moderate,0.5,moderate_av,P4_av_discount_hv_comp,ODD-Gated Price-Aware Matching,pending_demand,pricing,1500,1326,0.884,0.116,0.884,71.02865761689291,89.49809136202943,43.81980480680182,44.74023420568645,58105.06117381921,17845.784008754796,40259.277165064406,0.6928704032275299,4338.22256848444,3057.5656281510364,0.39124136723879444,0.23121387283236994,0.8428571428571429,0.8695324283559578,0.3234452793289037,0.0,6.625631678532231,0.2748124496743281,0.4641671994504338,1,21
moderate,0.5,moderate_av,P5_three_stakeholder_balanced,ODD-Gated Price-Aware Matching,pending_demand,pricing,1500,1289,0.8593333333333333,0.14066666666666666,0.8593333333333333,71.19782777346781,91.34300166188133,43.73727064290156,44.686706316170216,56377.34185870011,16699.589481702205,39677.7523769979,0.7037889880733151,3982.5742859026054,2827.8667840477838,0.38449008489334136,0.23417721518987342,0.8476190476190476,0.8774243599689682,0.3247918843248057,0.0,6.155337270668763,0.3222617826208986,0.46779933865396844,1,22
moderate,0.5,moderate_av,P3_shared_comp,Random,pending_demand,strategy,1500,1322,0.8813333333333333,0.11866666666666667,0.8813333333333333,76.15204236006052,115.596432829842,45.0126610654476,46.82307686274036,59506.73792852173,24671.796643971564,34834.941284550165,0.5853949064792154,15572.617560650546,10728.40553571075,0.4058734419584636,0.251896813353566,0.780952380952381,0.5015128593040847,0.3986217062967156,0.21417797888386123,7.118406945537627,0.256093333224015,0.43820707668517367,2,0
moderate,0.5,moderate_av,P3_shared_comp,Nearest,pending_demand,strategy,1500,1319,0.8793333333333333,0.12066666666666667,0.8793333333333333,78.41849886277483,76.06395299866637,44.90495610414247,45.93874464099222,59229.637101363915,24544.45265225585,34685.18444910806,0.585605216350538,15657.43722378516,10850.356071067057,0.4039455349400962,0.22189349112426035,0.5428571428571428,0.4874905231235785,0.40058908742857824,0.24261275272161742,7.1033621523678345,0.25801132264200444,0.552679672228928,2,1
moderate,0.5,moderate_av,P3_shared_comp,GlobalMatch-MinPickup,pending_demand,strategy,1500,1320,0.88,0.12,0.88,75.41363636363636,75.66885588275528,44.94271957086596,45.916702749127126,59324.38983354307,23557.73368219303,35766.656151350035,0.6028996885042874,14189.936119122727,9840.541255293367,0.40380118162730677,0.22203947368421054,0.5571428571428572,0.5393939393939394,0.4010073754915528,0.24578651685393257,7.071203990664218,0.2599771388123661,0.5433280393572986,2,2
moderate,0.5,moderate_av,P3_shared_comp,GlobalMatch-MinOperatingCost,pending_demand,strategy,1500,1322,0.8813333333333333,0.11866666666666667,0.8813333333333333,75.52571860816944,80.20714486765334,45.015930269074666,45.65713821937781,59511.05981571671,15139.883233079881,44371.17658263683,0.7455954694814311,1212.6150258124076,842.010886128779,0.4311239628159269,0.2653061224489796,0.8714285714285714,0.9629349470499243,0.4011701835242826,0.2246661429693637,7.087916571013163,0.25847920492806853,0.5288893347892705,2,3
moderate,0.5,moderate_av,P3_shared_comp,Cost-only,pending_demand,strategy,1500,1322,0.8813333333333333,0.11866666666666667,0.8813333333333333,75.42435703479576,81.09740927805203,45.01773192875023,45.67977088586951,59513.4416098078,15158.454830984823,44354.986778822975,0.745293593834326,1177.0521195155354,813.1797183492761,0.4231158570860917,0.20754716981132076,0.8428571428571429,0.959909228441755,0.40148756975009114,0.22695035460992907,7.089517400738992,0.25902934922821286,0.5323584962895157,2,4
moderate,0.5,moderate_av,P3_shared_comp,Simple Risk Penalty,pending_demand,strategy,1500,1320,0.88,0.12,0.88,75.41363636363636,79.85704387763475,44.94271957086596,46.4572846908429,59324.38983354307,32838.47984115286,26485.909992390207,0.44645903761853106,28478.391482266896,19734.48745199142,0.4036306096561316,0.24277456647398843,0.2523809523809524,0.08257575757575758,0.3874468026221346,0.1743119266055046,7.071961566421794,0.2599771388123661,0.534166502372461,2,5
moderate,0.5,moderate_av,P3_shared_comp,ODD Gate Only,pending_demand,strategy,1500,1314,0.876,0.124,0.876,75.95053272450532,78.58975304114813,44.87645184559781,46.073817682676484,58967.657725115525,26982.529340675253,31985.12838444027,0.542418159689208,19436.410765823617,13433.068225305862,0.4221948636673083,0.34793187347931875,0.4714285714285714,0.3744292237442922,0.36750519534113607,0.0,6.171823347107439,0.2735743528357165,0.5401181578657399,2,6
