scope,date,support_dimension,target,support_group,comparison,n,baseline_mae,candidate_mae,absolute_improvement,relative_improvement
aggregate,all,spatiotemporal,speed_cv,high,M3_vs_M1,374098,0.06280478812999721,0.06250163963863677,0.00030314849136044153,0.004826837258537775
aggregate,all,spatiotemporal,speed_cv,high,M4_vs_M1,374098,0.06280478812999721,0.06250846038099588,0.0002963277490013322,0.004718234991701187
aggregate,all,spatiotemporal,speed_cv,high,M4_vs_M3,374098,0.06250163963863677,0.06250846038099588,-6.820742359109344e-06,-0.00010912901483136375
aggregate,all,spatiotemporal,acceleration_rms,unseen,M3_vs_M1,3578,0.11805148189282952,0.11756173335738807,0.0004897485354414532,0.004148601335526316
aggregate,all,spatiotemporal,acceleration_rms,unseen,M4_vs_M1,3578,0.11805148189282952,0.11749114762296632,0.0005603342698631969,0.004746524659232014
aggregate,all,spatiotemporal,acceleration_rms,unseen,M4_vs_M3,3578,0.11756173335738807,0.11749114762296632,7.058573442174365e-05,0.0006004142028695917
aggregate,all,spatiotemporal,acceleration_rms,low,M3_vs_M1,8707,0.11681095420843784,0.11655913215549613,0.0002518220529417192,0.002155808542513634
aggregate,all,spatiotemporal,acceleration_rms,low,M4_vs_M1,8707,0.11681095420843784,0.1165453589849934,0.00026559522344445086,0.0022737184645416205
aggregate,all,spatiotemporal,acceleration_rms,low,M4_vs_M3,8707,0.11655913215549613,0.1165453589849934,1.3773170502731635e-05,0.00011816466241664778
aggregate,all,spatiotemporal,acceleration_rms,medium,M3_vs_M1,95865,0.11891073849458854,0.1185736467801852,0.00033709171440333974,0.0028348298788732212
aggregate,all,spatiotemporal,acceleration_rms,medium,M4_vs_M1,95865,0.11891073849458854,0.11856998206804606,0.0003407564265424795,0.002865648896445016
aggregate,all,spatiotemporal,acceleration_rms,medium,M4_vs_M3,95865,0.1185736467801852,0.11856998206804606,3.6647121391397697e-06,3.090663261739352e-05
aggregate,all,spatiotemporal,acceleration_rms,high,M3_vs_M1,255767,0.11951503459803849,0.11907680851025142,0.0004382260877870692,0.0036667025973840237
aggregate,all,spatiotemporal,acceleration_rms,high,M4_vs_M1,255767,0.11951503459803849,0.1190803468252837,0.0004346877727547799,0.0036370969913262618
aggregate,all,spatiotemporal,acceleration_rms,high,M4_vs_M3,255767,0.11907680851025142,0.1190803468252837,-3.5383150322892964e-06,-2.9714560513978507e-05
aggregate,all,target_specific,crawl,unseen,M3_vs_M1,15118,0.23850673422112673,0.22950704282124015,0.008999691399886572,0.0377334897032412
aggregate,all,target_specific,crawl,unseen,M4_vs_M1,15118,0.23850673422112673,0.22978887386936425,0.008717860351762474,0.0365518415244405
aggregate,all,target_specific,crawl,unseen,M4_vs_M3,15118,0.22950704282124015,0.22978887386936425,-0.0002818310481240982,-0.0012279843122008788
aggregate,all,target_specific,crawl,low,M3_vs_M1,28836,0.2166329691264295,0.20807995602155147,0.008553013104878021,0.03948158555628892
aggregate,all,target_specific,crawl,low,M4_vs_M1,28836,0.2166329691264295,0.20816508621281327,0.00846788291361622,0.039088615863794335
aggregate,all,target_specific,crawl,low,M4_vs_M3,28836,0.20807995602155147,0.20816508621281327,-8.513019126180077e-05,-0.000409122497377804
