scope,date,weighting,support_dimension,target,support_group,n,mae,median_absolute_error,p90_absolute_error
daily,20161027,traversal,spatial,acceleration_rms,unseen,27,0.13691336468414025,0.13036063313484192,0.2670913636684418
daily,20161027,traversal,spatial,acceleration_rms,low,52,0.11121956731837529,0.08936379849910736,0.22339273542165755
daily,20161027,traversal,spatial,acceleration_rms,medium,17783,0.11374833536253318,0.09758029878139496,0.232459044456482
daily,20161027,traversal,spatial,acceleration_rms,high,103823,0.12038129919247419,0.10518470406532288,0.24364565610885622
daily,20161027,traversal,spatiotemporal,crawl,unseen,2768,0.22591392916689138,0.13052364438772202,0.6022344172000885
daily,20161027,traversal,spatiotemporal,crawl,low,5983,0.1932756573994193,0.10289409756660461,0.518955409526825
daily,20161027,traversal,spatiotemporal,crawl,medium,66951,0.17119089815353883,0.058916062116622925,0.5010309815406799
daily,20161027,traversal,spatiotemporal,crawl,high,183630,0.1693587361512552,0.046918122097849846,0.516106164455414
daily,20161027,traversal,spatiotemporal,stop,unseen,2768,0.03458126747429923,0.0012734669144265354,0.04443917237222207
daily,20161027,traversal,spatiotemporal,stop,low,5983,0.014202009175772102,0.0005484792054630816,0.011481148004531866
daily,20161027,traversal,spatiotemporal,stop,medium,66951,0.006416327255153589,0.00028422498144209385,0.0032962390687316656
daily,20161027,traversal,spatiotemporal,stop,high,183630,0.003986433794558867,0.00021615458535961807,0.0018210792564786978
daily,20161027,traversal,spatiotemporal,speed_cv,unseen,1851,0.06878214005254077,0.056733906269073486,0.13611741364002228
daily,20161027,traversal,spatiotemporal,speed_cv,low,4191,0.06563404492324561,0.055958762764930725,0.12923912703990936
daily,20161027,traversal,spatiotemporal,speed_cv,medium,46148,0.0631328568968764,0.054442424327135086,0.12441451773047449
daily,20161027,traversal,spatiotemporal,speed_cv,high,124170,0.06265656449029106,0.0546511746942997,0.12238917723298076
daily,20161027,traversal,spatiotemporal,acceleration_rms,unseen,1203,0.11507654230320147,0.09964209794998169,0.2414297610521316
daily,20161027,traversal,spatiotemporal,acceleration_rms,low,2948,0.11851018999312755,0.10083302855491638,0.24030379652976996
daily,20161027,traversal,spatiotemporal,acceleration_rms,medium,32187,0.11930017671754858,0.10369610786437988,0.24151993989944465
daily,20161027,traversal,spatiotemporal,acceleration_rms,high,85347,0.1195460232188709,0.10443747043609619,0.2422959744930268
daily,20161027,traversal,target_specific,crawl,unseen,5137,0.22841435317747336,0.08901065587997437,0.7452584743499775
daily,20161027,traversal,target_specific,crawl,low,9782,0.21664698892082832,0.07513284310698509,0.7400183081626891
daily,20161027,traversal,target_specific,crawl,medium,58631,0.191692826002118,0.05504759028553963,0.642082929611206
daily,20161027,traversal,target_specific,crawl,high,185782,0.16046063179781062,0.04881575517356396,0.48422750234603884
daily,20161027,traversal,target_specific,stop,unseen,5137,0.04459643102175877,0.0025735616218298674,0.08306050449609767
daily,20161027,traversal,target_specific,stop,low,9782,0.01562866155075401,0.0008544645388610661,0.01621639337390661
daily,20161027,traversal,target_specific,stop,medium,58631,0.006380351190227303,0.000345062930136919,0.004371760878711939
daily,20161027,traversal,target_specific,stop,high,185782,0.0031555378289590476,0.00019624977721832693,0.0013713433290831743
daily,20161027,traversal,target_specific,speed_cv,unseen,3444,0.07196525319908831,0.05991330184042454,0.13907246440649032
daily,20161027,traversal,target_specific,speed_cv,low,6980,0.0656392437766138,0.05622512847185135,0.12704816907644276
daily,20161027,traversal,target_specific,speed_cv,medium,41412,0.06401027293465071,0.05557353049516678,0.12414746657013893
daily,20161027,traversal,target_specific,speed_cv,high,124524,0.06214950563745855,0.054094962775707245,0.12226655259728428
daily,20161027,traversal,target_specific,acceleration_rms,unseen,2754,0.1181102767343225,0.10172395408153534,0.24403039515018476
daily,20161027,traversal,target_specific,acceleration_rms,low,5560,0.11877832323875573,0.10237663984298706,0.2387026235461235
daily,20161027,traversal,target_specific,acceleration_rms,medium,28024,0.12081289103203098,0.1051132082939148,0.24490626752376557
daily,20161027,traversal,target_specific,acceleration_rms,high,85347,0.11903488950453747,0.10392051935195923,0.24123135209083565
daily,20161027,cell_equal,spatial,crawl,unseen,73,0.35728406702002435,0.2614858150482178,0.852596366405487
daily,20161027,cell_equal,spatial,crawl,low,183,0.36225004200034777,0.30765604972839355,0.7851478636264801
daily,20161027,cell_equal,spatial,crawl,medium,27156,0.21598246802655124,0.13244011253118515,0.5474085882306099
daily,20161027,cell_equal,spatial,crawl,high,82808,0.17162041558704685,0.0735711740473142,0.4913810621414866
daily,20161027,cell_equal,spatiotemporal,crawl,unseen,2669,0.2260119162524156,0.13131678104400635,0.6043026566505457
daily,20161027,cell_equal,spatiotemporal,crawl,low,5390,0.19324386824064155,0.10511970892548561,0.5148833066225054
daily,20161027,cell_equal,spatiotemporal,crawl,medium,45049,0.17607421187091032,0.0734079759567976,0.4986608348786833
daily,20161027,cell_equal,spatiotemporal,crawl,high,57112,0.18546644042184363,0.09960904717445374,0.49796602710460625
daily,20161027,cell_equal,target_specific,crawl,unseen,4915,0.22833498148054168,0.09051954746246338,0.7304963111877449
