date,order_id,transition_index,from_link_id,to_link_id,bridge_found,bridge_repairable,bridge_distance_m,bridge_link_count,bridge_node_path,bridge_reason
20161023,7289433f72c71967fb1090c5020d7def,130,162540383_2627__n4,162532933_2408__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,7c34ed0a9e60bdd50c4a7252f6231a5e,6,28258926_2311__n0,258738678_2548__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,840c8f246e94d8272905f980a508fec5,1,142320577_2424__n2,152428516_2373__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,a0fa47ae55f3df83353cfe348536cd75,1,457983482_10355__n0,457983483_10328__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,a8c79eb35aeea27e41d92167b97fa5c3,2,457983480_10346__n0,457983472_10329__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,b9b01410a2517df1fc8a00fe99de9236,6,156592802_10050__n2,266583975_10026__n2,False,False,,,,no_directed_path_within_distance_cap
20161023,bfd377134b42ab6908e33786e6964422,1,231866355_9013__n0,334802601_9007__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,c24f6cae37177fbc4364397621449c37,44,162532765_2419__n4,162542042_2628__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,c69ddb346e6d806fd65b5453e7277499,11,293499685_9031__n0,334802601_9007__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,d1306130b7e76a1c785dc65c4b496ad0,26,162540382_2656__n0,28340415_2395__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,d408f00b8ffae825a9968a03ff5172dc,15,369790064_4622__n0,263773394_4625__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,e14b24ed7c410b59128e6cb0978cfbca,28,369790064_4622__n0,263773394_4625__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,f763ca3457cc12a14a268281b6a0a6b1,1,156593889_8906__n0,335697686_8879__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,0a645dac2720a1450166e5efc350accf,2,162540384_2635__n0,162532761_2422__n1,False,False,,,,no_directed_path_within_distance_cap
20161023,0a645dac2720a1450166e5efc350accf,5,162532781_2407__n0,381409556_2412__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,2a98fbf53293ef28a241620d3a3c9e13,2,255201450_10351__n0,457983473_10345__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,2d8227240c840449897876827a66cbe1,3,162540379_2393__n0,162533708_2368__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,2d8227240c840449897876827a66cbe1,39,152427993_8794__n1,263485688_8788__n1,False,False,,,,no_directed_path_within_distance_cap
20161023,2f58605948f5c618c465fd8a9142be2a,40,152427987_2576__n0,152427999_2561__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,32432ff884aad17b21b5d9270c1f2cf1,46,162540382_2656__n0,28340415_2395__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,6e56c6dd3c706e5e750241b16fe28cc6,9,334648934_2579__n3,152427999_2561__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,6f895005fe5ff5224cf289fbb8aaaebb,29,152427991_2563__n0,381429052_2558__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,732e5ac0a3eb05cc20e282b71e60e631,6,231865404_8915__n0,381956609_8926__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,732e5ac0a3eb05cc20e282b71e60e631,25,263485691_8790__n0,381429052_2558__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,732e5ac0a3eb05cc20e282b71e60e631,85,162540382_2656__n0,28340415_2395__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,732e5ac0a3eb05cc20e282b71e60e631,101,162540383_2627__n4,162532933_2408__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,899b0c30307610470b242d46c09fa8b4,35,258738667_2572__n1,258738668_2570__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,8fdf366fdc377cf5f577ce7cad573f68,31,162542043_2415__n0,162532933_2408__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,94a282d9ecb1e2a086a864f678685e2d,1,255201450_10351__n0,457983472_10329__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,9923beaaf6bf6ee3e5bc4a963d015335,21,162540382_2656__n0,152428519_2370__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,a104a283a1da1bf7a38a8917576cb00e,2,457983480_10346__n0,457983472_10329__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,d8debb754dcad90be4926f857e94cd79,9,335513936_2221__n1,162532933_2408__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,d8debb754dcad90be4926f857e94cd79,119,264453197_8806__n0,155248440_8810__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,e8c663db6b29a62e7cb302af4b7039c5,17,263485691_8790__n0,26174011_2565__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,e8c663db6b29a62e7cb302af4b7039c5,48,162540382_2656__n0,28340415_2395__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,ed3ef48e831537bb0fc941a4c93a8df9,1,255201450_10351__n0,457983472_10329__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,f279ca8e82421a1471a7d26724982bbe,20,152427991_2563__n0,381429052_2558__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,f279ca8e82421a1471a7d26724982bbe,80,162540382_2656__n0,28340415_2395__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,f9aa9fd49a6289e966a20537c804509e,64,59140333_4472__n6,447556644_4617__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,f9aa9fd49a6289e966a20537c804509e,75,369790064_4622__n0,263773394_4625__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,fc37132935f5a382cb481663b0eaa16e,18,162540382_2656__n0,152428519_2370__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,fead128790e4544ee6d80b9763dc357d,51,152427985_8814__n0,155248440_8810__n0,False,False,,,,no_directed_path_within_distance_cap
