q_A,timestamp,rt_variant,patience_s,waiting_orders,retained_180s_cohort,additional_waiting_orders,critical_orders,physical_state_sha256,production_subsecond_expired_orders,av_arcs_lost_to_integer_deadline,G0_SPATIAL_E,G0_SPATIAL_U,G0_SPATIAL_M,G1_PASSENGER_E,G1_PASSENGER_U,G1_PASSENGER_M,G2_STRUCTURAL_E,G2_STRUCTURAL_U,G2_STRUCTURAL_M,G3_EVIDENCE_E,G3_EVIDENCE_U,G3_EVIDENCE_M,TOPK_COMPRESSION_E,TOPK_COMPRESSION_U,TOPK_COMPRESSION_M,ROUTE_RETURNED_E,ROUTE_RETURNED_U,ROUTE_RETURNED_M,G4_PATIENCE_E,G4_PATIENCE_U,G4_PATIENCE_M,G5_SOLVER_E,G5_SOLVER_U,G5_SOLVER_M,mixed_E,mixed_U,mixed_M,production_av_E,production_av_U,production_av_M,retained_mixed_E,retained_mixed_U,retained_mixed_M,retained_av_E,retained_av_U,retained_av_M,additional_mixed_E,additional_mixed_U,additional_mixed_M
0.5,2016-10-31T12:00:00+08:00,RT-Base,180,79,79,0,14,a3db13f9693f8c8103677bfaaebb8fe62e5765e6e5a13a6d32379ef039e067ba,0,0,9154,79,79,6536,59,59,3225,27,27,1795,17,17,218,17,17,218,17,17,6,2,2,6,2,2,20,8,7,6,2,2,20,8,7,6,2,2,0,0,0
0.5,2016-10-31T12:00:00+08:00,RT-Base,600,262,79,183,13,a3db13f9693f8c8103677bfaaebb8fe62e5765e6e5a13a6d32379ef039e067ba,0,0,48840,262,239,34178,186,186,19536,101,101,10330,57,57,762,57,57,762,57,57,222,36,33,222,36,33,742,142,92,222,36,33,495,71,62,151,15,15,247,71,55
0.5,2016-10-31T12:00:00+08:00,RT-High,180,92,92,0,20,a3db13f9693f8c8103677bfaaebb8fe62e5765e6e5a13a6d32379ef039e067ba,1,0,10167,92,92,6590,61,61,3243,34,34,2094,21,21,276,21,21,276,21,21,15,4,4,15,4,4,46,16,14,15,4,4,46,16,14,15,4,4,0,0,0
0.5,2016-10-31T12:00:00+08:00,RT-High,600,305,92,213,14,a3db13f9693f8c8103677bfaaebb8fe62e5765e6e5a13a6d32379ef039e067ba,0,1,55549,305,239,38417,210,210,20365,115,115,13063,73,73,984,73,73,984,73,73,351,47,47,351,47,47,982,164,108,350,47,47,614,83,74,200,19,19,368,81,67
0.5,2016-10-31T17:30:00+08:00,CANONICAL_ZERO_LEAD,180,54,54,0,7,fd71423b24c676cae0b1751fdf24f2676b704250a0a221c20eab57722d3540b7,0,0,5034,54,54,2620,31,31,942,9,9,616,5,5,52,5,5,52,5,5,1,1,1,1,1,1,6,4,4,1,1,1,6,4,4,1,1,1,0,0,0
0.5,2016-10-31T17:30:00+08:00,CANONICAL_ZERO_LEAD,600,174,54,120,7,fd71423b24c676cae0b1751fdf24f2676b704250a0a221c20eab57722d3540b7,0,0,31189,174,174,20390,112,112,9583,48,48,3925,21,21,194,21,21,194,21,21,10,3,3,10,3,3,160,53,32,10,3,3,142,39,30,10,3,3,18,14,10
0.5,2016-10-31T17:30:00+08:00,RT-Low,180,90,90,0,12,fd71423b24c676cae0b1751fdf24f2676b704250a0a221c20eab57722d3540b7,0,0,11415,90,90,8111,64,64,3969,32,32,2661,21,21,208,21,21,208,21,21,6,2,2,6,2,2,13,8,8,6,2,2,13,8,8,6,2,2,0,0,0
0.5,2016-10-31T17:30:00+08:00,RT-Low,600,222,90,132,9,fd71423b24c676cae0b1751fdf24f2676b704250a0a221c20eab57722d3540b7,0,0,39788,222,222,26843,152,152,11501,68,68,6276,39,39,389,39,39,389,39,39,95,20,20,95,20,20,366,101,59,95,20,20,278,77,50,65,15,15,88,24,23
0.5,2016-10-31T17:30:00+08:00,RT-Base,180,81,81,0,16,fd71423b24c676cae0b1751fdf24f2676b704250a0a221c20eab57722d3540b7,1,0,9431,81,81,6537,56,56,4103,33,33,2481,22,22,185,22,22,185,22,22,1,1,1,1,1,1,20,5,5,1,1,1,20,5,5,1,1,1,0,0,0
0.5,2016-10-31T17:30:00+08:00,RT-Base,600,258,81,177,6,fd71423b24c676cae0b1751fdf24f2676b704250a0a221c20eab57722d3540b7,1,0,47697,258,240,32588,177,177,16277,90,90,10490,60,60,591,60,60,591,60,60,103,28,28,103,28,28,411,117,73,103,28,28,281,66,46,56,16,16,130,51,39
0.5,2016-10-31T17:30:00+08:00,RT-High,180,111,111,0,17,fd71423b24c676cae0b1751fdf24f2676b704250a0a221c20eab57722d3540b7,0,0,11191,111,111,7695,77,77,3561,37,37,2870,30,30,297,30,30,297,30,30,11,4,3,11,4,3,42,8,8,11,4,3,42,8,8,11,4,3,0,0,0
0.5,2016-10-31T17:30:00+08:00,RT-High,600,309,111,198,18,fd71423b24c676cae0b1751fdf24f2676b704250a0a221c20eab57722d3540b7,0,1,54585,309,240,38441,217,217,21334,119,119,12883,78,78,770,78,75,770,78,75,153,32,30,153,32,30,591,138,84,152,31,29,489,93,68,129,22,22,102,45,32
0.75,2016-10-31T12:00:00+08:00,CANONICAL_ZERO_LEAD,180,76,76,0,10,f65424ea3f1f001c25136c100128685db3e15eda5dfbc769b62a722e3e8812da,0,0,11270,76,76,6158,47,47,3506,24,24,911,9,9,143,9,9,143,9,9,5,4,4,5,4,4,9,6,6,5,4,4,9,6,6,5,4,4,0,0,0
0.75,2016-10-31T12:00:00+08:00,CANONICAL_ZERO_LEAD,600,196,76,120,13,f65424ea3f1f001c25136c100128685db3e15eda5dfbc769b62a722e3e8812da,0,0,49638,196,196,33635,132,132,12952,54,54,5103,23,23,396,23,23,396,23,23,104,11,11,104,11,11,302,92,32,104,11,11,262,67,29,95,8,8,40,25,14
0.75,2016-10-31T12:00:00+08:00,RT-Low,180,92,92,0,15,f65424ea3f1f001c25136c100128685db3e15eda5dfbc769b62a722e3e8812da,0,0,13909,92,92,9902,63,63,5628,40,40,3831,25,25,429,25,25,429,25,25,24,6,6,24,6,6,30,10,10,24,6,6,30,10,10,24,6,6,0,0,0
0.75,2016-10-31T12:00:00+08:00,RT-Low,600,244,92,152,9,f65424ea3f1f001c25136c100128685db3e15eda5dfbc769b62a722e3e8812da,0,0,63576,244,244,43205,165,165,22377,91,91,11416,49,49,850,49,49,850,49,49,327,34,32,327,34,32,523,109,56,327,34,32,437,72,46,285,24,22,86,37,26
