epoch_id,condition,layer,E_AV,U_AV,M_AV,O_HA,E_HV
1700,D4,TOPK,659,63,63,63,878
1700,D4,VALID_ETA,659,63,63,63,878
1700,D4,PATIENCE,67,9,9,0,6
1700,D4,SESSION,67,9,9,0,3
1730,D0,SPATIAL,11813,85,85,85,8804
1730,D0,PASSENGER,7129,52,52,52,8804
1730,D0,PHYSICAL_DIRECTION_HARD,7129,52,52,52,8804
1730,D0,CAPABILITY_HARD,7129,52,52,52,8804
1730,D0,STRUCTURAL_ROUTE,3027,19,19,19,8804
1730,D0,PRE_TOPK_EVIDENCE,1550,10,10,10,8804
1730,D0,TOPK,96,10,10,10,1498
1730,D0,VALID_ETA,96,10,10,10,1498
1730,D0,PATIENCE,3,1,1,0,31
1730,D0,SESSION,3,1,1,0,19
1730,D1,SPATIAL,11813,85,85,85,8804
1730,D1,PASSENGER,7129,52,52,52,8804
1730,D1,PHYSICAL_DIRECTION_HARD,7129,52,52,52,8804
1730,D1,CAPABILITY_HARD,6889,50,50,50,8804
1730,D1,STRUCTURAL_ROUTE,3820,24,24,24,8804
1730,D1,PRE_TOPK_EVIDENCE,3549,22,22,22,8804
1730,D1,TOPK,247,22,22,22,1347
1730,D1,VALID_ETA,247,22,22,22,1347
1730,D1,PATIENCE,7,4,3,1,31
1730,D1,SESSION,7,4,3,0,19
1730,D2,SPATIAL,11813,85,85,85,8804
1730,D2,PASSENGER,7129,52,52,52,8804
1730,D2,PHYSICAL_DIRECTION_HARD,6248,44,44,44,8804
1730,D2,CAPABILITY_HARD,6248,44,44,44,8804
1730,D2,STRUCTURAL_ROUTE,3712,22,22,22,8804
1730,D2,PRE_TOPK_EVIDENCE,1815,12,12,12,8804
1730,D2,TOPK,125,12,12,11,1469
1730,D2,VALID_ETA,125,12,12,11,1469
1730,D2,PATIENCE,3,1,1,0,31
1730,D2,SESSION,3,1,1,0,19
1730,D3,SPATIAL,11813,85,85,85,8804
1730,D3,PASSENGER,7129,52,52,52,8804
1730,D3,PHYSICAL_DIRECTION_HARD,7129,52,52,52,8804
1730,D3,CAPABILITY_HARD,7129,52,52,52,8804
1730,D3,STRUCTURAL_ROUTE,3027,19,19,19,8804
1730,D3,PRE_TOPK_EVIDENCE,3027,19,19,19,8804
1730,D3,TOPK,208,19,19,18,1386
1730,D3,VALID_ETA,208,19,19,18,1386
1730,D3,PATIENCE,13,4,3,0,31
1730,D3,SESSION,13,4,3,0,19
1730,D4,SPATIAL,11813,85,85,85,8804
1730,D4,PASSENGER,7129,52,52,52,8804
1730,D4,PHYSICAL_DIRECTION_HARD,7129,52,52,52,8804
1730,D4,CAPABILITY_HARD,7129,52,52,52,8804
1730,D4,STRUCTURAL_ROUTE,7129,52,52,52,8804
1730,D4,PRE_TOPK_EVIDENCE,7129,52,52,52,8804
1730,D4,TOPK,645,52,52,47,995
1730,D4,VALID_ETA,645,52,52,47,995
1730,D4,PATIENCE,89,13,12,3,17
1730,D4,SESSION,89,13,12,1,6
1800,D0,SPATIAL,13462,94,94,94,11329
1800,D0,PASSENGER,9582,63,63,63,11329
1800,D0,PHYSICAL_DIRECTION_HARD,9582,63,63,63,11329
1800,D0,CAPABILITY_HARD,9582,63,63,63,11329
1800,D0,STRUCTURAL_ROUTE,4081,26,26,26,11329
1800,D0,PRE_TOPK_EVIDENCE,1815,12,12,12,11329
1800,D0,TOPK,109,12,12,12,1653
1800,D0,VALID_ETA,109,12,12,12,1653
1800,D0,PATIENCE,0,0,0,0,24
1800,D0,SESSION,0,0,0,0,18
1800,D1,SPATIAL,13462,94,94,94,11329
1800,D1,PASSENGER,9582,63,63,63,11329
1800,D1,PHYSICAL_DIRECTION_HARD,9582,63,63,63,11329
1800,D1,CAPABILITY_HARD,8901,59,59,59,11329
1800,D1,STRUCTURAL_ROUTE,5490,36,36,36,11329
1800,D1,PRE_TOPK_EVIDENCE,5490,36,36,36,11329
1800,D1,TOPK,375,36,36,36,1391
1800,D1,VALID_ETA,375,36,36,36,1391
1800,D1,PATIENCE,15,4,4,1,24
1800,D1,SESSION,15,4,4,1,18
1800,D2,SPATIAL,13462,94,94,94,11329
1800,D2,PASSENGER,9582,63,63,63,11329
1800,D2,PHYSICAL_DIRECTION_HARD,8888,59,59,59,11329
1800,D2,CAPABILITY_HARD,8888,59,59,59,11329
1800,D2,STRUCTURAL_ROUTE,4192,28,28,28,11329
1800,D2,PRE_TOPK_EVIDENCE,1821,13,13,13,11329
1800,D2,TOPK,115,13,13,13,1653
1800,D2,VALID_ETA,115,13,13,13,1653
1800,D2,PATIENCE,0,0,0,0,24
1800,D2,SESSION,0,0,0,0,18
1800,D3,SPATIAL,13462,94,94,94,11329
1800,D3,PASSENGER,9582,63,63,63,11329
1800,D3,PHYSICAL_DIRECTION_HARD,9582,63,63,63,11329
1800,D3,CAPABILITY_HARD,9582,63,63,63,11329
1800,D3,STRUCTURAL_ROUTE,4081,26,26,26,11329
1800,D3,PRE_TOPK_EVIDENCE,4081,26,26,26,11329
1800,D3,TOPK,266,26,26,26,1500
1800,D3,VALID_ETA,266,26,26,26,1500
1800,D3,PATIENCE,10,1,1,1,24
1800,D3,SESSION,10,1,1,1,18
1800,D4,SPATIAL,13462,94,94,94,11329
1800,D4,PASSENGER,9582,63,63,63,11329
1800,D4,PHYSICAL_DIRECTION_HARD,9582,63,63,63,11329
1800,D4,CAPABILITY_HARD,9582,63,63,63,11329
1800,D4,STRUCTURAL_ROUTE,9582,63,63,63,11329
1800,D4,PRE_TOPK_EVIDENCE,9582,63,63,63,11329
1800,D4,TOPK,664,63,63,63,1126
1800,D4,VALID_ETA,664,63,63,63,1126
1800,D4,PATIENCE,30,10,10,3,24
1800,D4,SESSION,30,10,10,2,18
1830,D0,SPATIAL,11162,80,80,80,9840
1830,D0,PASSENGER,7638,57,57,57,9840
1830,D0,PHYSICAL_DIRECTION_HARD,7638,57,57,57,9840
1830,D0,CAPABILITY_HARD,7638,57,57,57,9840
1830,D0,STRUCTURAL_ROUTE,4698,34,34,34,9840
1830,D0,PRE_TOPK_EVIDENCE,1959,13,13,13,9840
1830,D0,TOPK,123,13,13,13,1423
1830,D0,VALID_ETA,123,13,13,13,1423
1830,D0,PATIENCE,0,0,0,0,8
1830,D0,SESSION,0,0,0,0,5
1830,D1,SPATIAL,11162,80,80,80,9840
1830,D1,PASSENGER,7638,57,57,57,9840
1830,D1,PHYSICAL_DIRECTION_HARD,7638,57,57,57,9840
1830,D1,CAPABILITY_HARD,6871,52,52,52,9840
1830,D1,STRUCTURAL_ROUTE,4829,36,36,36,9840
1830,D1,PRE_TOPK_EVIDENCE,4388,33,33,33,9840
1830,D1,TOPK,275,32,32,32,1290
1830,D1,VALID_ETA,275,32,32,32,1290
1830,D1,PATIENCE,6,4,4,2,8
1830,D1,SESSION,6,4,4,2,5
1830,D2,SPATIAL,11162,80,80,80,9840
1830,D2,PASSENGER,7638,57,57,57,9840
1830,D2,PHYSICAL_DIRECTION_HARD,7108,54,54,54,9840
1830,D2,CAPABILITY_HARD,7108,54,54,54,9840
1830,D2,STRUCTURAL_ROUTE,5238,38,38,38,9840
1830,D2,PRE_TOPK_EVIDENCE,2009,14,14,14,9840
1830,D2,TOPK,126,14,14,14,1420
1830,D2,VALID_ETA,126,14,14,14,1420
1830,D2,PATIENCE,0,0,0,0,8
1830,D2,SESSION,0,0,0,0,5
1830,D3,SPATIAL,11162,80,80,80,9840
1830,D3,PASSENGER,7638,57,57,57,9840
1830,D3,PHYSICAL_DIRECTION_HARD,7638,57,57,57,9840
1830,D3,CAPABILITY_HARD,7638,57,57,57,9840
1830,D3,STRUCTURAL_ROUTE,4698,34,34,34,9840
1830,D3,PRE_TOPK_EVIDENCE,4698,34,34,34,9840
1830,D3,TOPK,311,34,34,32,1247
1830,D3,VALID_ETA,311,34,34,32,1247
1830,D3,PATIENCE,5,4,4,2,8
1830,D3,SESSION,5,4,4,2,5
1830,D4,SPATIAL,11162,80,80,80,9840
1830,D4,PASSENGER,7638,57,57,57,9840
1830,D4,PHYSICAL_DIRECTION_HARD,7638,57,57,57,9840
1830,D4,CAPABILITY_HARD,7638,57,57,57,9840
1830,D4,STRUCTURAL_ROUTE,7638,57,57,57,9840
1830,D4,PRE_TOPK_EVIDENCE,7638,57,57,57,9840
1830,D4,TOPK,521,56,56,53,1048
1830,D4,VALID_ETA,521,56,56,53,1048
1830,D4,PATIENCE,38,8,8,2,8
1830,D4,SESSION,38,8,8,2,5
2100,D0,SPATIAL,11008,86,84,86,6418
2100,D0,PASSENGER,7922,59,59,59,6418
2100,D0,PHYSICAL_DIRECTION_HARD,7922,59,59,59,6418
2100,D0,CAPABILITY_HARD,7922,59,59,59,6418
2100,D0,STRUCTURAL_ROUTE,3963,33,33,33,6418
2100,D0,PRE_TOPK_EVIDENCE,2603,22,22,22,6418
2100,D0,TOPK,252,22,22,22,1303
2100,D0,VALID_ETA,252,22,22,22,1303
2100,D0,PATIENCE,10,2,2,1,23
2100,D0,SESSION,10,2,2,1,7
2100,D1,SPATIAL,11008,86,84,86,6418
2100,D1,PASSENGER,7922,59,59,59,6418
2100,D1,PHYSICAL_DIRECTION_HARD,7922,59,59,59,6418
2100,D1,CAPABILITY_HARD,7219,55,55,55,6418
2100,D1,STRUCTURAL_ROUTE,4862,38,38,38,6418
2100,D1,PRE_TOPK_EVIDENCE,4854,37,37,37,6418
2100,D1,TOPK,417,37,37,37,1142
2100,D1,VALID_ETA,417,37,37,37,1142
2100,D1,PATIENCE,19,5,5,1,23
2100,D1,SESSION,19,5,5,1,7
2100,D2,SPATIAL,11008,86,84,86,6418
2100,D2,PASSENGER,7922,59,59,59,6418
2100,D2,PHYSICAL_DIRECTION_HARD,7322,54,54,54,6418
2100,D2,CAPABILITY_HARD,7322,54,54,54,6418
2100,D2,STRUCTURAL_ROUTE,4777,37,37,37,6418
2100,D2,PRE_TOPK_EVIDENCE,2603,22,22,22,6418
2100,D2,TOPK,252,22,22,22,1303
2100,D2,VALID_ETA,252,22,22,22,1303
2100,D2,PATIENCE,10,2,2,1,23
2100,D2,SESSION,10,2,2,1,7
2100,D3,SPATIAL,11008,86,84,86,6418
2100,D3,PASSENGER,7922,59,59,59,6418
2100,D3,PHYSICAL_DIRECTION_HARD,7922,59,59,59,6418
2100,D3,CAPABILITY_HARD,7922,59,59,59,6418
2100,D3,STRUCTURAL_ROUTE,3963,33,33,33,6418
2100,D3,PRE_TOPK_EVIDENCE,3963,33,33,33,6418
2100,D3,TOPK,373,33,33,33,1201
2100,D3,VALID_ETA,373,33,33,33,1201
2100,D3,PATIENCE,27,7,7,2,23
2100,D3,SESSION,27,7,7,1,7
2100,D4,SPATIAL,11008,86,84,86,6418
2100,D4,PASSENGER,7922,59,59,59,6418
2100,D4,PHYSICAL_DIRECTION_HARD,7922,59,59,59,6418
2100,D4,CAPABILITY_HARD,7922,59,59,59,6418
2100,D4,STRUCTURAL_ROUTE,7922,59,59,59,6418
2100,D4,PRE_TOPK_EVIDENCE,7922,59,59,59,6418
2100,D4,TOPK,711,59,59,59,879
2100,D4,VALID_ETA,711,59,59,59,879
2100,D4,PATIENCE,71,12,11,4,23
2100,D4,SESSION,71,12,11,1,7
2300,D0,SPATIAL,6270,47,47,47,2822
2300,D0,PASSENGER,3996,35,35,35,2822
2300,D0,PHYSICAL_DIRECTION_HARD,3996,35,35,35,2822
2300,D0,CAPABILITY_HARD,3996,35,35,35,2822
2300,D0,STRUCTURAL_ROUTE,2399,20,20,20,2822
2300,D0,PRE_TOPK_EVIDENCE,1510,13,13,13,2822
2300,D0,TOPK,111,13,13,13,696
2300,D0,VALID_ETA,111,13,13,13,696
2300,D0,PATIENCE,1,1,1,0,11
2300,D0,SESSION,1,1,1,0,0
2300,D1,SPATIAL,6270,47,47,47,2822
2300,D1,PASSENGER,3996,35,35,35,2822
2300,D1,PHYSICAL_DIRECTION_HARD,3996,35,35,35,2822
2300,D1,CAPABILITY_HARD,3991,34,34,34,2822
2300,D1,STRUCTURAL_ROUTE,3074,24,24,24,2822
2300,D1,PRE_TOPK_EVIDENCE,3074,24,24,24,2822
2300,D1,TOPK,247,24,24,24,596
2300,D1,VALID_ETA,247,24,24,24,596
2300,D1,PATIENCE,1,1,1,0,11
2300,D1,SESSION,1,1,1,0,0
2300,D2,SPATIAL,6270,47,47,47,2822
2300,D2,PASSENGER,3996,35,35,35,2822
2300,D2,PHYSICAL_DIRECTION_HARD,3996,35,35,35,2822
2300,D2,CAPABILITY_HARD,3996,35,35,35,2822
2300,D2,STRUCTURAL_ROUTE,2653,23,23,23,2822
2300,D2,PRE_TOPK_EVIDENCE,1515,14,14,14,2822
2300,D2,TOPK,116,14,14,14,696
2300,D2,VALID_ETA,116,14,14,14,696
2300,D2,PATIENCE,2,2,1,0,11
2300,D2,SESSION,2,2,1,0,0
2300,D3,SPATIAL,6270,47,47,47,2822
2300,D3,PASSENGER,3996,35,35,35,2822
2300,D3,PHYSICAL_DIRECTION_HARD,3996,35,35,35,2822
2300,D3,CAPABILITY_HARD,3996,35,35,35,2822
2300,D3,STRUCTURAL_ROUTE,2399,20,20,20,2822
2300,D3,PRE_TOPK_EVIDENCE,2399,20,20,20,2822
2300,D3,TOPK,206,20,20,20,620
2300,D3,VALID_ETA,206,20,20,20,620
2300,D3,PATIENCE,1,1,1,0,11
2300,D3,SESSION,1,1,1,0,0
2300,D4,SPATIAL,6270,47,47,47,2822
2300,D4,PASSENGER,3996,35,35,35,2822
2300,D4,PHYSICAL_DIRECTION_HARD,3996,35,35,35,2822
2300,D4,CAPABILITY_HARD,3996,35,35,35,2822
2300,D4,STRUCTURAL_ROUTE,3996,35,35,35,2822
2300,D4,PRE_TOPK_EVIDENCE,3996,35,35,35,2822
2300,D4,TOPK,367,35,35,35,505
2300,D4,VALID_ETA,367,35,35,35,505
2300,D4,PATIENCE,17,6,5,1,11
2300,D4,SESSION,17,6,5,0,0
