epoch_id,condition,layer,category,waiting_order_count,E_AV,U_AV,M_AV,O_HA,E_HV
0830,D0,STRUCTURAL_ROUTE,ORIGINAL_REVERSE,37,968,8,8,8,1865
0830,D0,STRUCTURAL_ROUTE,M_CAPABILITY_HARD,1,0,0,0,0,20
0830,D0,STRUCTURAL_ROUTE,FALLBACK_EVIDENCE,10,968,8,8,8,549
0830,D0,PRE_TOPK_EVIDENCE,ORIGINAL_REVERSE,37,0,0,0,0,1865
0830,D0,PRE_TOPK_EVIDENCE,M_CAPABILITY_HARD,1,0,0,0,0,20
0830,D0,PRE_TOPK_EVIDENCE,FALLBACK_EVIDENCE,10,0,0,0,0,549
0830,D0,TOPK,ORIGINAL_REVERSE,37,0,0,0,0,652
0830,D0,TOPK,M_CAPABILITY_HARD,1,0,0,0,0,20
0830,D0,TOPK,FALLBACK_EVIDENCE,10,0,0,0,0,179
0830,D0,VALID_ETA,ORIGINAL_REVERSE,37,0,0,0,0,652
0830,D0,VALID_ETA,M_CAPABILITY_HARD,1,0,0,0,0,20
0830,D0,VALID_ETA,FALLBACK_EVIDENCE,10,0,0,0,0,179
0830,D0,PATIENCE,ORIGINAL_REVERSE,37,0,0,0,0,2
0830,D0,PATIENCE,M_CAPABILITY_HARD,1,0,0,0,0,0
0830,D0,PATIENCE,FALLBACK_EVIDENCE,10,0,0,0,0,1
0830,D0,SESSION,ORIGINAL_REVERSE,37,0,0,0,0,1
0830,D0,SESSION,M_CAPABILITY_HARD,1,0,0,0,0,0
0830,D0,SESSION,FALLBACK_EVIDENCE,10,0,0,0,0,0
0830,D1,SPATIAL,ORIGINAL_REVERSE,37,4772,37,37,37,1865
0830,D1,SPATIAL,M_CAPABILITY_HARD,1,50,1,1,1,20
0830,D1,SPATIAL,FALLBACK_EVIDENCE,10,1436,10,10,10,549
0830,D1,PASSENGER,ORIGINAL_REVERSE,37,3442,23,23,23,1865
0830,D1,PASSENGER,M_CAPABILITY_HARD,1,50,1,1,1,20
0830,D1,PASSENGER,FALLBACK_EVIDENCE,10,968,8,8,8,549
0830,D1,PHYSICAL_DIRECTION_HARD,ORIGINAL_REVERSE,37,3442,23,23,23,1865
0830,D1,PHYSICAL_DIRECTION_HARD,M_CAPABILITY_HARD,1,50,1,1,1,20
