time_bin,target,raw_count,raw_share,processed_count,processed_share,accepted_count,accepted_share,target_valid_traversals,target_valid_share,acceptance_rate
25,stop,52437,0.026224859528435646,9487,0.026209716409045073,5717,0.025986363636363637,153522,0.026581456593594007,0.10902606937849228
25,speed_cv,52437,0.026224859528435646,9487,0.026209716409045073,5717,0.025986363636363637,102917,0.02636560361751135,0.10902606937849228
25,acceleration_rms,52437,0.026224859528435646,9487,0.026209716409045073,5717,0.025986363636363637,69746,0.026182110305269006,0.10902606937849228
26,crawl,55034,0.027523674491064083,9960,0.02751647258712859,6051,0.027504545454545455,155487,0.02692168510941853,0.10995021259584983
26,stop,55034,0.027523674491064083,9960,0.02751647258712859,6051,0.027504545454545455,155487,0.02692168510941853,0.10995021259584983
26,speed_cv,55034,0.027523674491064083,9960,0.02751647258712859,6051,0.027504545454545455,104368,0.026737325401560718,0.10995021259584983
26,acceleration_rms,55034,0.027523674491064083,9960,0.02751647258712859,6051,0.027504545454545455,71057,0.02667424959082241,0.10995021259584983
27,crawl,62202,0.031108543821876805,11263,0.03111626814747282,6934,0.03151818181818182,177507,0.030734322218047522,0.11147551525674415
27,stop,62202,0.031108543821876805,11263,0.03111626814747282,6934,0.03151818181818182,177507,0.030734322218047522,0.11147551525674415
27,speed_cv,62202,0.031108543821876805,11263,0.03111626814747282,6934,0.03151818181818182,120824,0.03095307569674778,0.11147551525674415
27,acceleration_rms,62202,0.031108543821876805,11263,0.03111626814747282,6934,0.03151818181818182,82943,0.031136162289592623,0.11147551525674415
28,crawl,63618,0.03181671555352173,11424,0.03156106253367038,7098,0.03226363636363636,184963,0.03202528599106922,0.11157219654814675
28,stop,63618,0.03181671555352173,11424,0.03156106253367038,7098,0.03226363636363636,184963,0.03202528599106922,0.11157219654814675
28,speed_cv,63618,0.03181671555352173,11424,0.03156106253367038,7098,0.03226363636363636,126359,0.03237104955940337,0.11157219654814675
28,acceleration_rms,63618,0.03181671555352173,11424,0.03156106253367038,7098,0.03226363636363636,86952,0.032641109959908106,0.11157219654814675
29,crawl,64261,0.03213829353618253,11553,0.03191745058223861,7142,0.03246363636363636,193213,0.03345372632468362,0.11114050512752681
29,stop,64261,0.03213829353618253,11553,0.03191745058223861,7142,0.03246363636363636,193213,0.03345372632468362,0.11114050512752681
29,speed_cv,64261,0.03213829353618253,11553,0.03191745058223861,7142,0.03246363636363636,131945,0.03380208876388289,0.11114050512752681
29,acceleration_rms,64261,0.03213829353618253,11553,0.03191745058223861,7142,0.03246363636363636,90887,0.03411827860113819,0.11114050512752681
30,crawl,65520,0.03276794622696004,11693,0.032304228309366925,7167,0.032577272727272726,193562,0.03351415367940258,0.10938644688644689
30,stop,65520,0.03276794622696004,11693,0.032304228309366925,7167,0.032577272727272726,193562,0.03351415367940258,0.10938644688644689
30,speed_cv,65520,0.03276794622696004,11693,0.032304228309366925,7167,0.032577272727272726,132783,0.034016770262872115,0.10938644688644689
30,acceleration_rms,65520,0.03276794622696004,11693,0.032304228309366925,7167,0.032577272727272726,91521,0.03435627730978873,0.10938644688644689
31,crawl,68706,0.034361332623161114,12376,0.03419115107814291,7721,0.03509545454545455,206693,0.03578771125766813,0.11237737606613687
31,stop,68706,0.034361332623161114,12376,0.03419115107814291,7721,0.03509545454545455,206693,0.03578771125766813,0.11237737606613687
31,speed_cv,68706,0.034361332623161114,12376,0.03419115107814291,7721,0.03509545454545455,141672,0.03629398248783066,0.11237737606613687
31,acceleration_rms,68706,0.034361332623161114,12376,0.03419115107814291,7721,0.03509545454545455,97621,0.03664617024790907,0.11237737606613687
32,crawl,67960,0.033988242148721065,12414,0.034296133604077746,7632,0.03469090909090909,205663,0.03560937264631991,0.11230135373749264
32,stop,67960,0.033988242148721065,12414,0.034296133604077746,7632,0.03469090909090909,205663,0.03560937264631991,0.11230135373749264
32,speed_cv,67960,0.033988242148721065,12414,0.034296133604077746,7632,0.03469090909090909,140843,0.036081606637398594,0.11230135373749264
32,acceleration_rms,67960,0.033988242148721065,12414,0.034296133604077746,7632,0.03469090909090909,97366,0.03655044521524994,0.11230135373749264
33,crawl,63107,0.03156115357974309,11316,0.0312626911441714,7077,0.03216818181818182,196272,0.03398337468595956,0.1121428684615019
33,stop,63107,0.03156115357974309,11316,0.0312626911441714,7077,0.03216818181818182,196272,0.03398337468595956,0.1121428684615019
33,speed_cv,63107,0.03156115357974309,11316,0.0312626911441714,7077,0.03216818181818182,134148,0.034366460294041924,0.1121428684615019
33,acceleration_rms,63107,0.03156115357974309,11316,0.0312626911441714,7077,0.03216818181818182,92243,0.03462731053951379,0.1121428684615019
34,crawl,63262,0.03163867237805168,11326,0.03129031812468056,6907,0.031395454545454546,179076,0.03100598559785855,0.10918086687110745
34,stop,63262,0.03163867237805168,11326,0.03129031812468056,6907,0.031395454545454546,179076,0.03100598559785855,0.10918086687110745
34,speed_cv,63262,0.03163867237805168,11326,0.03129031812468056,6907,0.031395454545454546,122856,0.031473639904320706,0.10918086687110745
34,acceleration_rms,63262,0.03163867237805168,11326,0.03129031812468056,6907,0.031395454545454546,84669,0.0317840893733952,0.10918086687110745
35,crawl,62700,0.031357604219023116,11324,0.03128479272857873,6743,0.03065,173712,0.030077239664584896,0.1075438596491228
35,stop,62700,0.031357604219023116,11324,0.03128479272857873,6743,0.03065,173712,0.030077239664584896,0.1075438596491228
35,speed_cv,62700,0.031357604219023116,11324,0.03128479272857873,6743,0.03065,118978,0.030480161559356234,0.1075438596491228
35,acceleration_rms,62700,0.031357604219023116,11324,0.03128479272857873,6743,0.03065,81782,0.030700331846779887,0.1075438596491228
36,crawl,61329,0.03067193794495165,11106,0.03068252455347893,6614,0.030063636363636365,171318,0.029662732251412423,0.10784457597547653
36,stop,61329,0.03067193794495165,11106,0.03068252455347893,6614,0.030063636363636365,171318,0.029662732251412423,0.10784457597547653
